mes,sku,produto,marca,categoria,segmento,estoque_unidades,estoque_valor,vendido_mes,giro_estoque,cobertura_dias
2024-01,X11-CAP-001,Capacete X11 Trust Pro Transit,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,X11-CAP-002,Capacete X11 Trust Pro 11,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,X11-CAP-003,Capacete X11 Revo Pro Flagger,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,X11-CAP-004,Capacete X11 Revo Pro All Black,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,X11-CAP-005,Capacete X11 Turner SV Articulado,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,X11-CAP-006,Capacete X11 Crossover Off Road,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,X11-CAP-007,Capacete X11 Ghost Urban,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,X11-JAQ-001,Jaqueta X11 Iron 3 Sporadic,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-01,X11-JAQ-002,Jaqueta X11 Super Air Ventilada,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-01,X11-JAQ-003,Jaqueta X11 Breeze 2 Ventilada,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-01,X11-JAQ-004,Jaqueta X11 Expedition Impermeavel,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-01,X11-JAQ-005,Jaqueta X11 One Sport Masculina,X11,Jaquetas,Moto,6,773.76,3,0.5,60
2024-01,X11-JAQ-006,Jaqueta X11 Sport Naked,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-01,X11-LUV-001,Luva X11 Route 2 Couro,X11,Luvas,Moto,7,571.62,5,0.71,42
2024-01,X11-LUV-002,Luva X11 Blackout 2,X11,Luvas,Moto,4,223.44,3,0.75,40
2024-01,X11-LUV-003,Luva X11 Impact 2 Cano Longo,X11,Luvas,Moto,3,296.58,5,1.67,18
2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,34,1314.44,33,0.97,31
2024-01,X11-LUV-005,Luva X11 Nitro 4,X11,Luvas,Moto,3,180.48,5,1.67,18
2024-01,X11-CAL-001,Calca X11 Montano Masculina,X11,Calcas,Moto,0,0.0,0,0.0,0
2024-01,X11-CAL-002,Calca X11 Urban Feminina,X11,Calcas,Moto,4,515.84,3,0.75,40
2024-01,X11-BOT-001,Bota X11 Urban 2,X11,Botas,Moto,0,0.0,0,0.0,0
2024-01,X11-BOT-002,Bota X11 Dirt Trilha,X11,Botas,Moto,0,0.0,0,0.0,0
2024-01,SCD-CAP-001,Capacete Scud Fenix Solide,Scud,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,SCD-CAP-002,Capacete Scud Attack 2 Viseira,Scud,Capacetes,Moto,2,268.7,3,1.5,20
2024-01,SCD-CAP-003,Capacete Scud E-Future Eletrico,Scud,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,SCD-CAP-004,Capacete Scud Speed Carbon,Scud,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,60,2301.0,36,0.6,50
2024-01,SCD-ACE-002,Bagageiro Scud Universal Moto,Scud,Acessorios,Moto,7,503.65,4,0.57,52
2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,52,1495.0,31,0.6,50
2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,85,1219.75,44,0.52,58
2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,27,1165.05,33,1.22,25
2024-01,VES-JAQ-001,Jaqueta Vessel Basic Urban,Vessel,Jaquetas,Moto,7,691.32,8,1.14,26
2024-01,VES-CAL-001,Calca Vessel Urban Stretch,Vessel,Calcas,Moto,6,683.76,3,0.5,60
2024-01,VES-LUV-001,Luva Vessel Street Ventilada,Vessel,Luvas,Moto,4,182.24,5,1.25,24
2024-01,VES-CAP-001,Capacete Vessel Integral Full,Vessel,Capacetes,Moto,0,0.0,0,0.0,0
2024-01,VES-ACE-001,Kit Protecao Vessel Joelhos/Cotovelo,Vessel,Acessorios,Moto,4,227.84,2,0.5,60
2024-01,HO-BIK-001,Bike HighOne Attack Sport 21v Aro 29,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-01,HO-BIK-002,Bike HighOne MTB Expert 24v Aro 29,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-01,HO-BIK-003,Bike HighOne Speed React 700c,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-01,HO-BIK-004,Bike HighOne Kids Fun 20v,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-01,HO-ACE-001,Capacete HighOne MTB Trail,HighOne,Capacetes,Bike,1,105.95,1,1.0,30
2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,33,1572.45,31,0.94,32
2024-01,HO-ACE-003,Oculos HighOne Vision UV400,HighOne,Acessorios,Bike,4,275.4,3,0.75,40
2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,42,1778.7,33,0.79,38
2024-01,SEN-ROD-001,Roda Sentec Aero 30 Road Alu,Sentec,Rodas,Bike,0,0.0,0,0.0,0
2024-01,SEN-ROD-002,Roda Sentec Aero 50 Carbon Road,Sentec,Rodas,Bike,0,0.0,0,0.0,0
2024-01,SEN-ROD-003,Roda Sentec Comp 29 MTB,Sentec,Rodas,Bike,0,0.0,0,0.0,0
2024-01,SEN-ROD-004,Roda Sentec Trail 29 MTB Tubeless,Sentec,Rodas,Bike,0,0.0,0,0.0,0
2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,34,1059.1,39,1.15,26
2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,74,1787.1,40,0.54,56
2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,27,368.55,32,1.19,25
2024-01,WGS-KIT-001,Kit Cubo WG Sports Completo,WG Sports,Componentes,Bike,6,312.9,4,0.67,45
2024-02,X11-CAP-001,Capacete X11 Trust Pro Transit,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,X11-CAP-002,Capacete X11 Trust Pro 11,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,X11-CAP-003,Capacete X11 Revo Pro Flagger,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,X11-CAP-004,Capacete X11 Revo Pro All Black,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,X11-CAP-005,Capacete X11 Turner SV Articulado,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,X11-CAP-006,Capacete X11 Crossover Off Road,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,X11-CAP-007,Capacete X11 Ghost Urban,X11,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,X11-JAQ-001,Jaqueta X11 Iron 3 Sporadic,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-02,X11-JAQ-002,Jaqueta X11 Super Air Ventilada,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-02,X11-JAQ-003,Jaqueta X11 Breeze 2 Ventilada,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-02,X11-JAQ-004,Jaqueta X11 Expedition Impermeavel,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-02,X11-JAQ-005,Jaqueta X11 One Sport Masculina,X11,Jaquetas,Moto,4,515.84,4,1.0,30
2024-02,X11-JAQ-006,Jaqueta X11 Sport Naked,X11,Jaquetas,Moto,0,0.0,0,0.0,0
2024-02,X11-LUV-001,Luva X11 Route 2 Couro,X11,Luvas,Moto,6,489.96,4,0.67,45
2024-02,X11-LUV-002,Luva X11 Blackout 2,X11,Luvas,Moto,5,279.3,3,0.6,50
2024-02,X11-LUV-003,Luva X11 Impact 2 Cano Longo,X11,Luvas,Moto,3,296.58,3,1.0,30
2024-02,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,31,1198.46,28,0.9,33
2024-02,X11-LUV-005,Luva X11 Nitro 4,X11,Luvas,Moto,11,661.76,6,0.55,55
2024-02,X11-CAL-001,Calca X11 Montano Masculina,X11,Calcas,Moto,0,0.0,0,0.0,0
2024-02,X11-CAL-002,Calca X11 Urban Feminina,X11,Calcas,Moto,6,773.76,3,0.5,60
2024-02,X11-BOT-001,Bota X11 Urban 2,X11,Botas,Moto,0,0.0,0,0.0,0
2024-02,X11-BOT-002,Bota X11 Dirt Trilha,X11,Botas,Moto,0,0.0,0,0.0,0
2024-02,SCD-CAP-001,Capacete Scud Fenix Solide,Scud,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,SCD-CAP-002,Capacete Scud Attack 2 Viseira,Scud,Capacetes,Moto,3,403.05,2,0.67,45
2024-02,SCD-CAP-003,Capacete Scud E-Future Eletrico,Scud,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,SCD-CAP-004,Capacete Scud Speed Carbon,Scud,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,36,1380.6,28,0.78,39
2024-02,SCD-ACE-002,Bagageiro Scud Universal Moto,Scud,Acessorios,Moto,3,215.85,2,0.67,45
2024-02,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,62,1782.5,34,0.55,55
2024-02,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,42,602.7,35,0.83,36
2024-02,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,39,1682.85,29,0.74,40
2024-02,VES-JAQ-001,Jaqueta Vessel Basic Urban,Vessel,Jaquetas,Moto,6,592.56,4,0.67,45
2024-02,VES-CAL-001,Calca Vessel Urban Stretch,Vessel,Calcas,Moto,5,569.8,3,0.6,50
2024-02,VES-LUV-001,Luva Vessel Street Ventilada,Vessel,Luvas,Moto,7,318.92,5,0.71,42
2024-02,VES-CAP-001,Capacete Vessel Integral Full,Vessel,Capacetes,Moto,0,0.0,0,0.0,0
2024-02,VES-ACE-001,Kit Protecao Vessel Joelhos/Cotovelo,Vessel,Acessorios,Moto,5,284.8,5,1.0,30
2024-02,HO-BIK-001,Bike HighOne Attack Sport 21v Aro 29,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-02,HO-BIK-002,Bike HighOne MTB Expert 24v Aro 29,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-02,HO-BIK-003,Bike HighOne Speed React 700c,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-02,HO-BIK-004,Bike HighOne Kids Fun 20v,HighOne,Bicicletas,Bike,0,0.0,0,0.0,0
2024-02,HO-ACE-001,Capacete HighOne MTB Trail,HighOne,Capacetes,Bike,4,423.8,3,0.75,40
2024-02,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,50,2382.5,34,0.68,44
2024-02,HO-ACE-003,Oculos HighOne Vision UV400,HighOne,Acessorios,Bike,6,413.1,3,0.5,60
2024-02,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,47,1990.45,35,0.74,40
