data,mes,sku,produto,marca,categoria,segmento,cidade,uf,regiao,canal,quantidade,preco_unitario,custo_unitario,receita,custo_total,margem_bruta
2024-01-01,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Belo Horizonte,MG,Sudeste,Varejo Fisico,1,79.9,42.35,79.9,42.35,37.55
2024-01-01,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Vitoria,ES,Sudeste,Distribuidores,1,63.48,24.15,63.48,24.15,39.33
2024-01-01,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Ribeirao Preto,SP,Sudeste,Varejo Fisico,1,89.9,47.65,89.9,47.65,42.25
2024-01-01,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Campinas,SP,Sudeste,E-commerce,1,39.0,13.65,39.0,13.65,25.35
2024-01-01,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Ribeirao Preto,SP,Sudeste,Distribuidores,1,59.9,28.75,59.9,28.75,31.15
2024-01-01,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Recife,PE,Nordeste,E-commerce,1,89.9,38.66,89.9,38.66,51.24
2024-01-01,2024-01,X11-LUV-005,Luva X11 Nitro 4,X11,Luvas,Moto,Ribeirao Preto,SP,Sudeste,E-commerce,1,139.9,60.16,139.9,60.16,79.74
2024-01-01,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Rio de Janeiro,RJ,Sudeste,E-commerce,1,89.9,43.15,89.9,43.15,46.75
2024-01-01,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Fortaleza,CE,Nordeste,E-commerce,1,71.91,42.35,71.91,42.35,29.56
2024-01-01,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Maceio,AL,Nordeste,E-commerce,1,79.9,38.35,79.9,38.35,41.55
